-20.00	-8000.00
-19.00	-6859.00
-18.00	-5832.00
-17.00	-4913.00
-16.00	-4096.00
-15.00	-3375.00
-14.00	-2744.00
-13.00	-2197.00
-12.00	-1728.00
-11.00	-1331.00
-10.00	-1000.00
-9.00	-729.00
-8.00	-512.00
-7.00	-343.00
-6.00	-216.00
-5.00	-125.00
-4.00	-64.00
-3.00	-27.00
-2.00	-8.00
-1.00	-1.00
0.00	0.00
1.00	1.00
2.00	8.00
3.00	27.00
4.00	64.00
5.00	125.00
6.00	216.00
7.00	343.00
8.00	512.00
9.00	729.00
10.00	1000.00
11.00	1331.00
12.00	1728.00
13.00	2197.00
14.00	2744.00
15.00	3375.00
16.00	4096.00
17.00	4913.00
18.00	5832.00
19.00	6859.00
